country,cont,area,rain,prec.mean,prec.med,prec.mod,slope,pop1999,tflcpc,tfc2000,tfc1990,tfl,nflcpc,nfc2000,nfc1990,nfl,floods,floodsev,duravg,areaflavg,areaaffavg,kill,disp,damage,GNI,PPPGNI,humzone,urban,crop,cropnat
Guyana,SouthAmerica,21498,2289.6,2030.2534,1971,1982,0.4561375,855000,3,16879,17385,506,NA,16867,NA,NA,2,NA,3.500,NA,NA,NA,NA,100000,NA,NA,perhumid,9,809,17913
Honduras,SouthAmerica,11189,917.7,1740.1103,1619,1504,3.418648649,6316000,10,5383,5921,538,11,5335,5922,587,8,1.0000,5.000,505000,6650,61,12800,3533333,6,17,perhumid,68,32262,8046
Jamaica,SouthAmerica,1083,909.7,1839.3824,1853.5,1502,1.6625,2560000,15,325,374,49,NA,317,NA,NA,2,1.0000,8.000,6000,3200,8,160800,25000000,7,10,perhumid,42,1243,0
Mexico,SouthAmerica,190869,762,769.0917,616,343,2.613488807,97365000,11,55205,61278,6073,11,54938,60981,6043,13,1.0000,6.615,4000,9440,75,44128,15500000,597,887,semiarid,1884,193863,130316
Nicaragua,SouthAmerica,12140,1274,2293.2082,2237,1559,1.438948649,4938000,30,3278,4261,983,32,3232,4266,1034,1,NA,26.000,NA,NA,5,106000,NA,4,13,perhumid,42,29603,15138
Panama,SouthAmerica,7443,1778,2579.2291,2614.5,2615,1.386584615,2812000,16,2876,3336,460,18,2836,3346,510,4,1.0000,6.750,19460,NA,1,1250,5000000,12,18,perhumid,78,18030,6822
Paraguay,SouthAmerica,39730,1366.4,1081.2078,1048,1631,0.355226573,5358000,5,23372,24541,1169,5,23345,24512,1167,5,1.5231,13.726,NA,NA,NA,37681,NA,6,25,perhumid,293,6684,46699
Peru,SouthAmerica,128000,25.1,1561.6605,1717,3,2.540931323,25230000,4,65215,67824,2609,5,64575,67804,3229,11,1.4286,7.000,5000,148600,70,89657,21000000,54,130,perhumid,184,15970,71756
TrinTob,SouthAmerica,513,1869.8,2086.7619,2055,1606,0.468725,1289000,8,259,280,21,NA,244,NA,NA,1,1.0000,1.000,NA,1170,5,NA,NA,9,12,perhumid,80,11,1331
Uruguay,SouthAmerica,17481,1056,1220.0129,1227,1195,0.460606061,3313000,0,1292,1292,0,0,670,670,0,1,2.0000,24.000,NA,NA,NA,NA,NA,15,26,perhumid,268,37973,64879
Venezuela,SouthAmerica,88206,827.5,1938.8151,1740,1156,1.293219016,23706000,4,49506,51486,1980,5,48643,51075,2432,4,1.0000,5.250,NA,77730,6668,10333,NA,102,131,perhumid,1202,10316,81957
